time_id,date,hour,day,day_of_week,month,year
2019021206,2019-02-12,6,12,Tuesday,2,2019
2019021205,2019-02-12,5,12,Tuesday,2,2019
2019021204,2019-02-12,4,12,Tuesday,2,2019
2019021203,2019-02-12,3,12,Tuesday,2,2019
2019021202,2019-02-12,2,12,Tuesday,2,2019
2019021201,2019-02-12,1,12,Tuesday,2,2019
2019021200,2019-02-12,0,12,Tuesday,2,2019
2019021123,2019-02-11,23,11,Monday,2,2019
2019021122,2019-02-11,22,11,Monday,2,2019
2019021121,2019-02-11,21,11,Monday,2,2019
2019021120,2019-02-11,20,11,Monday,2,2019
2019021119,2019-02-11,19,11,Monday,2,2019
2019021118,2019-02-11,18,11,Monday,2,2019
2019021117,2019-02-11,17,11,Monday,2,2019
2019021116,2019-02-11,16,11,Monday,2,2019
2019021115,2019-02-11,15,11,Monday,2,2019
2019021114,2019-02-11,14,11,Monday,2,2019
2019021113,2019-02-11,13,11,Monday,2,2019
2019021112,2019-02-11,12,11,Monday,2,2019
2019021111,2019-02-11,11,11,Monday,2,2019
2019021110,2019-02-11,10,11,Monday,2,2019
2019021109,2019-02-11,9,11,Monday,2,2019
2019021108,2019-02-11,8,11,Monday,2,2019
2019021107,2019-02-11,7,11,Monday,2,2019
2019021106,2019-02-11,6,11,Monday,2,2019
2019021105,2019-02-11,5,11,Monday,2,2019
2019021104,2019-02-11,4,11,Monday,2,2019
2019021103,2019-02-11,3,11,Monday,2,2019
2019021102,2019-02-11,2,11,Monday,2,2019
2019021101,2019-02-11,1,11,Monday,2,2019
2019021023,2019-02-10,23,10,Sunday,2,2019
2019021100,2019-02-11,0,11,Monday,2,2019
2019021022,2019-02-10,22,10,Sunday,2,2019
2019021021,2019-02-10,21,10,Sunday,2,2019
2019021020,2019-02-10,20,10,Sunday,2,2019
2019021019,2019-02-10,19,10,Sunday,2,2019
2019021018,2019-02-10,18,10,Sunday,2,2019
2019021017,2019-02-10,17,10,Sunday,2,2019
2019021016,2019-02-10,16,10,Sunday,2,2019
2019021015,2019-02-10,15,10,Sunday,2,2019
2019021014,2019-02-10,14,10,Sunday,2,2019
2019021013,2019-02-10,13,10,Sunday,2,2019
2019021012,2019-02-10,12,10,Sunday,2,2019
2019021011,2019-02-10,11,10,Sunday,2,2019
2019021010,2019-02-10,10,10,Sunday,2,2019
2019021009,2019-02-10,9,10,Sunday,2,2019
2019021008,2019-02-10,8,10,Sunday,2,2019
2019021007,2019-02-10,7,10,Sunday,2,2019
2019021006,2019-02-10,6,10,Sunday,2,2019
2019021005,2019-02-10,5,10,Sunday,2,2019
2019021004,2019-02-10,4,10,Sunday,2,2019
2019021003,2019-02-10,3,10,Sunday,2,2019
2019021002,2019-02-10,2,10,Sunday,2,2019
2019021001,2019-02-10,1,10,Sunday,2,2019
2019021000,2019-02-10,0,10,Sunday,2,2019
2019020923,2019-02-09,23,9,Saturday,2,2019
2019020922,2019-02-09,22,9,Saturday,2,2019
2019020921,2019-02-09,21,9,Saturday,2,2019
2019020920,2019-02-09,20,9,Saturday,2,2019
2019020919,2019-02-09,19,9,Saturday,2,2019
2019020918,2019-02-09,18,9,Saturday,2,2019
2019020917,2019-02-09,17,9,Saturday,2,2019
2019020916,2019-02-09,16,9,Saturday,2,2019
2019020915,2019-02-09,15,9,Saturday,2,2019
2019020914,2019-02-09,14,9,Saturday,2,2019
2019020913,2019-02-09,13,9,Saturday,2,2019
2019020912,2019-02-09,12,9,Saturday,2,2019
2019020911,2019-02-09,11,9,Saturday,2,2019
2019020910,2019-02-09,10,9,Saturday,2,2019
2019020909,2019-02-09,9,9,Saturday,2,2019
2019020908,2019-02-09,8,9,Saturday,2,2019
2019020907,2019-02-09,7,9,Saturday,2,2019
2019020906,2019-02-09,6,9,Saturday,2,2019
2019020905,2019-02-09,5,9,Saturday,2,2019
2019020904,2019-02-09,4,9,Saturday,2,2019
2019020903,2019-02-09,3,9,Saturday,2,2019
2019020902,2019-02-09,2,9,Saturday,2,2019
2019020901,2019-02-09,1,9,Saturday,2,2019
2019020900,2019-02-09,0,9,Saturday,2,2019
2019020823,2019-02-08,23,8,Friday,2,2019
2019020822,2019-02-08,22,8,Friday,2,2019
2019020820,2019-02-08,20,8,Friday,2,2019
2019020821,2019-02-08,21,8,Friday,2,2019
2019020819,2019-02-08,19,8,Friday,2,2019
2019020818,2019-02-08,18,8,Friday,2,2019
2019020817,2019-02-08,17,8,Friday,2,2019
2019020816,2019-02-08,16,8,Friday,2,2019
2019020815,2019-02-08,15,8,Friday,2,2019
2019020814,2019-02-08,14,8,Friday,2,2019
2019020813,2019-02-08,13,8,Friday,2,2019
2019020812,2019-02-08,12,8,Friday,2,2019
2019020811,2019-02-08,11,8,Friday,2,2019
2019020810,2019-02-08,10,8,Friday,2,2019
2019020809,2019-02-08,9,8,Friday,2,2019
2019020808,2019-02-08,8,8,Friday,2,2019
2019020807,2019-02-08,7,8,Friday,2,2019
2019020806,2019-02-08,6,8,Friday,2,2019
2019020805,2019-02-08,5,8,Friday,2,2019
2019020804,2019-02-08,4,8,Friday,2,2019
2019020803,2019-02-08,3,8,Friday,2,2019
2019020802,2019-02-08,2,8,Friday,2,2019
2019020801,2019-02-08,1,8,Friday,2,2019
2019020800,2019-02-08,0,8,Friday,2,2019
2019020723,2019-02-07,23,7,Thursday,2,2019
2019020722,2019-02-07,22,7,Thursday,2,2019
2019020721,2019-02-07,21,7,Thursday,2,2019
2019020720,2019-02-07,20,7,Thursday,2,2019
2019020719,2019-02-07,19,7,Thursday,2,2019
2019020718,2019-02-07,18,7,Thursday,2,2019
2019020717,2019-02-07,17,7,Thursday,2,2019
2019020716,2019-02-07,16,7,Thursday,2,2019
2019020715,2019-02-07,15,7,Thursday,2,2019
2019020714,2019-02-07,14,7,Thursday,2,2019
2019020713,2019-02-07,13,7,Thursday,2,2019
2019020712,2019-02-07,12,7,Thursday,2,2019
2019020711,2019-02-07,11,7,Thursday,2,2019
2019020710,2019-02-07,10,7,Thursday,2,2019
2019020709,2019-02-07,9,7,Thursday,2,2019
2019020708,2019-02-07,8,7,Thursday,2,2019
2019020707,2019-02-07,7,7,Thursday,2,2019
2019020706,2019-02-07,6,7,Thursday,2,2019
2019020705,2019-02-07,5,7,Thursday,2,2019
2019020704,2019-02-07,4,7,Thursday,2,2019
2019020703,2019-02-07,3,7,Thursday,2,2019
2019020702,2019-02-07,2,7,Thursday,2,2019
2019020701,2019-02-07,1,7,Thursday,2,2019
2019020700,2019-02-07,0,7,Thursday,2,2019
2019020623,2019-02-06,23,6,Wednesday,2,2019
2019020622,2019-02-06,22,6,Wednesday,2,2019
2019020621,2019-02-06,21,6,Wednesday,2,2019
2019020620,2019-02-06,20,6,Wednesday,2,2019
2019020619,2019-02-06,19,6,Wednesday,2,2019
2019020618,2019-02-06,18,6,Wednesday,2,2019
2019020617,2019-02-06,17,6,Wednesday,2,2019
