station_id,station_name,latitude,longitude
363,Salesforce Transit Center (Natoma St at 2nd St),37.7874921,-122.3982847
46,San Antonio Park,37.79013985,-122.2423732
186,Lakeside Dr at 14th St,37.8013189,-122.2626418
108,16th St Mission BART,37.76471009,-122.4199569
156,Stanford Ave at Hollis St,37.8384435,-122.2886647
211,Broadway at 40th St,37.8277573,-122.2567156
20,Mechanics Monument Plaza (Market St at Bush St),37.7913,-122.399051
372,Madison St at 17th St,37.80403678,-122.2624093
196,Grand Ave at Perkins St,37.80889393,-122.2564602
139,Garfield Square (25th St at Harrison St),37.7510171,-122.4119009
151,53rd St at Hollis St,37.8361823,-122.2871801
357,2nd St at Julian St,37.34113204,-121.8928438
18,Telegraph Ave at Alcatraz Ave,37.85022187,-122.2601724
42,San Francisco City Hall (Polk St at Grove St),37.77865,-122.41823
64,5th St at Brannan St,37.7767539,-122.3990176
201,10th St at Fallon St,37.7976728,-122.2629973
284,Yerba Buena Center for the Arts (Howard St at 3rd St),37.78487208,-122.4008757
146,30th St at San Jose Ave,37.7423139,-122.4231805
147,29th St at Tiffany Ave,37.7440667,-122.4214722
203,Webster St at 2nd St,37.79519476,-122.2739697
56,Koshland Park,37.77341397,-122.4273169
138,Jersey St at Church St,37.7509004,-122.4274114
279,Santa Clara St at 7th St,37.3391456,-121.8841054
170,Telegraph Ave at 58th St,37.8444927,-122.261351
237,Fruitvale BART Station,37.7752321,-122.2244982
259,Addison St at Fourth St,37.866249,-122.2993708
398,Leavenworth St at Broadway,37.79647069,-122.4168576
179,Telegraph Ave at 27th St,37.81607312,-122.2678864
373,Potrero del Sol Park (25th St at Utah St),37.75179165,-122.4052155
24,Spear St at Folsom St,37.7896767,-122.3904285
167,College Ave at Harwood Ave,37.848152,-122.2521599
29,O'Farrell St at Divisadero St,37.7824046,-122.4394459
26,1st St at Folsom St,37.78729,-122.39438
100,Bryant St at 15th St,37.7671004,-122.410662
41,Golden Gate Ave at Polk St,37.78127,-122.41874
327,5th St at San Salvador St,37.33203868,-121.8817663
145,29th St at Church St,37.7436839,-122.4268059
54,Alamo Square (Steiner St at Fulton St),37.77754677,-122.4332741
291,Autumn Parkway at Coleman Ave,37.3413348,-121.9031829
273,Fulton St at Ashby Ave,37.85557366,-122.2635654
25,Howard St at 2nd St,37.78752178,-122.3974049
124,19th St at Florida St,37.7604469,-122.410807
315,Market St at 45th St,37.834174,-122.272968
267,Derby St at College Ave,37.8618037,-122.2535687
214,Market St at Brockhurst St,37.8233214,-122.2757325
251,California St at University Ave,37.87055533,-122.2797203
232,MLK Jr Way at 14th St,37.8061628,-122.2760402
191,Market St at 40th St,37.8305452,-122.2739367
275,Julian St at 6th St,37.3429973,-121.8888891
35,Cahill Park,37.32911867,-121.9045758
309,San Jose City Hall,37.337391,-121.886995
255,Virginia St at Shattuck Ave,37.87657255,-122.2695279
187,Jack London Square,37.796248,-122.279352
242,Milvia St at Derby St,37.8601246,-122.2693844
337,Webster St at 19th St,37.80696976,-122.2665882
132,24th St at Chattanooga St,37.7518194,-122.4266139
278,The Alameda at Bush St,37.3319323,-121.9048882
175,49th St at Telegraph Ave,37.8359455,-122.2623663
178,Broadway at 30th St,37.8193814,-122.2619284
63,Bryant St at 6th St,37.77591022,-122.402575
292,Empire St at 1st St,37.3448821,-121.8969655
364,China Basin St at 3rd St,37.7719996,-122.3899698
152,47th St at San Pablo Ave,37.8356322,-122.2810507
316,San Salvador St at 1st St,37.330165,-121.885831
210,45th St at Manila,37.83329352,-122.2562242
318,San Carlos St at Market St,37.330698,-121.888979
216,San Pablo Ave at 27th St,37.8178269,-122.2756976
282,Market St at Park St,37.3324263,-121.8903494
162,Franklin St at 9th St,37.8005161,-122.2720799
313,Almaden Blvd at San Fernando St,37.331415,-121.8932
298,Oak St at 1st St,37.32212463,-121.8810904
295,William St at 10th St,37.3327938,-121.8759263
164,Isabella St at San Pablo Ave,37.81498823,-122.2748441
142,Guerrero Park,37.7457388,-122.4221402
351,10th St at University Ave,37.86906048,-122.2933996
218,DeFremery Park,37.8123315,-122.2851712
257,Fifth St at Delaware St,37.87040712,-122.2996759
233,4th Ave at E 12th St (Temporary Location),37.795913,-122.255547
173,Shattuck Ave at 55th St,37.8403643,-122.2644881
153,59th St at Horton St,37.8409452,-122.2913604
307,SAP Center,37.332692,-121.900084
192,37th St at West St,37.82669559,-122.2717971
